occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures
1,0.633,0.0391,0.262,0.169,0,0,0,0,0,0.517,0.312
0.622,0.622,0.0361,0.299,0.15,0,0,0,0,0,0,0.322
0.333,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.333,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.333,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.333,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.333,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.333,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.333,0.571,0.0212,0.412,0.0602,0,0,0,0,0,0,0.0902
0.333,0.658,0.0965,0.281,0.202,0,0,0,0,0,0,0.226
0.333,0.675,0.113,0.281,0.24,0,0,0.365,0.246,0.333,0,0.18
0.356,0.704,0.146,0.271,0.322,0,0,0.417,0,0.483,0.0667,0.0902
0.644,0.839,0.322,0.15,0.646,0,0,0,0,0,0.183,0.18
0.522,0.784,0.381,0.201,0.541,0,0,0,0,0,0,0.135
0.856,0.897,0.77,0.0608,0.722,0,0,0,0,0,0,0
0.978,0.889,0.911,0.00936,0.649,0,0,0,0,0,0.25,0.209
0.689,0.697,0.387,0.211,0.302,0,0,0,0,0,0,0.239
1,0.671,0.231,0.185,0.24,0,0,0,0,0,0,0.38
1,0.603,0.0593,0.316,0.0886,0,0,0,0,0,0,0.18
1,0.577,0.0273,0.384,0.0577,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
1,0.599,0.0211,0.318,0.0523,0,0,0,0,0,0,0.0451
1,0.622,0.0254,0.248,0.0851,0,0,0,0,0,0,0.554
1,0.677,0.0438,0.14,0.223,0,0,0,0,0,0,0.0902
1,0.713,0.073,0.14,0.307,0,0,0,0,0,0,0.0902
0.922,0.756,0.138,0.105,0.378,0.26,0.233,0,0,0,0,0.317
0.667,0.737,0.161,0.14,0.351,0.736,0.3,0,0,0,0.733,0
0.589,0.717,0.173,0.173,0.312,0.227,0,0,0,0,0.3,0.0451
0.578,0.714,0.193,0.178,0.296,0,0,0,0,0,0.25,0.0451
0.339,0.652,0.128,0.278,0.19,0,0,0,0,0,0,0
0.411,0.671,0.175,0.248,0.217,0,0,0,0,0,0,0.0902
0.339,0.652,0.166,0.278,0.191,0,0,0,0,0,0,0.271
0.578,0.733,0.303,0.178,0.324,0,0,0,0,0,0,0
0.994,0.903,0.534,0.00234,0.642,0,0,0.239,0.246,0.267,0,0.316
1,0.963,0.558,0,0.842,0,0,0,0,0,0,0.316
0.756,0.887,0.479,0.103,0.759,0,0,0,0,0,0,0.18
0.667,0.845,0.55,0.14,0.676,0,0,0,0,0,0,0
0.667,0.822,0.662,0.14,0.564,0,0,0,0,0,0,0
0.667,0.777,0.651,0.14,0.437,0,0,0,0,0,0,0.273
0.422,0.671,0.325,0.243,0.258,0,0,0,0,0,0,0.0974
0.578,0.623,0.132,0.281,0.142,0,0,0,0,0,0,0
0.806,0.613,0.065,0.281,0.0878,0,0,0,0,0,0,0
0.667,0.612,0.0369,0.281,0.0639,0,0,0,0,0,0,0
0.667,0.577,0.0221,0.384,0.0532,0,0,0,0,0,0,0
0.667,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
0.667,0.565,0.0186,0.421,0.0509,0,0,0,0,0,0,0
0.828,0.587,0.0216,0.353,0.0677,0,0,0,0,0,0,0
0.922,0.607,0.0277,0.313,0.112,0,0,0,0,0,0,0.271
0.667,0.623,0.0418,0.318,0.151,0,0,0,0,0,0,0.448
0.994,0.732,0.118,0.143,0.336,0,0,0,0,0,0,0.675
1,0.737,0.161,0.14,0.351,0,0,0,0,0,0,0.267
0.922,0.717,0.173,0.173,0.312,0,0,0,0,0,0,0.129
0.667,0.714,0.193,0.178,0.296,0,0,0,0,0,0,0.322
0.667,0.737,0.234,0.14,0.325,0,0,0,0,0,0,0.749
0.667,0.737,0.27,0.14,0.32,0,0,0,0,0,0,0.296
0.667,0.737,0.309,0.14,0.326,0,0,0,0,0,0,0.581
0.911,0.756,0.343,0.14,0.361,0,0,0,0,0,0.233,0.0451
1,0.878,0.493,0.0374,0.602,0,0,0,0,0,0.283,0.135
0.922,0.931,0.515,0.0327,0.776,0,0,0,0,0,0,0.18
0.667,0.851,0.43,0.14,0.684,0,0,0,0,0,0,0.135
0.744,0.877,0.617,0.108,0.748,0,0,0,0,0,0,0.135
1,0.95,0.984,0,0.82,0,0,0,0,0,0,0.135
1,0.883,0.967,0,0.63,0,0,0,0,0,0,0
1,0.734,0.504,0.136,0.382,0,0,0,0,0,0,0
1,0.623,0.132,0.281,0.142,0,0,0,0,0,0,0
0.756,0.599,0.054,0.325,0.0798,0,0,0,0,0,0,0
0.667,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.856,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.978,0.588,0.0184,0.351,0.0519,0,0,0,0,0,0,0.229
0.667,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
0.667,0.599,0.0277,0.342,0.11,0,0,0,0,0,0,0.311
0.644,0.63,0.0399,0.29,0.165,0,0,0,0,0,0,0.255
0.333,0.614,0.0376,0.342,0.134,0,0,0,0,0,0,0.0902
0.333,0.651,0.0585,0.281,0.2,0,0,0,0,0,0.25,0
0.333,0.651,0.0654,0.281,0.199,0,0,0,0,0,0,0.0451
0.333,0.651,0.0716,0.281,0.194,0,0,0.586,0.246,0.267,0,0
0.333,0.651,0.0762,0.281,0.188,0,0,0.376,0,0,0,0.135
0.356,0.651,0.0828,0.281,0.186,0,0,0.365,0,0,0,0.226
0.478,0.651,0.0891,0.281,0.188,0,0,0.229,0,0,0.25,0.406
0.333,0.658,0.0965,0.281,0.202,0,0,0,0,0,0,0.18
0.167,0.616,0.0599,0.351,0.135,0,0,0,0,0,0,0.226
0.167,0.625,0.0712,0.351,0.161,0,0,0,0,0,0,0
